season,week,outcome,date,time,rotation,team,score,wagers,BETONLINE_spread,BETONLINE_odds,BOVODA_spread,BOVODA_odds,BookMaker_spread,BookMaker_odds,BAS_spread,BAS_odds,Heritage_spread,Heritage_odds,everygame_spread,everygame_odds,JustBET_spread,JustBET_odds,bet105_spread,bet105_odds,WAGERWEB_spread,WAGERWEB_odds,opener_spread,opener_odds
2024,13,FINAL OT,Sun 12/1,4:05 PM,475,Tampa Bay,26,24%,-6.5,-115,-7.0,-105,-6.5,-115,-6.5,-115,-6.5,-108,-6.5,-115,-6.5,-115,,,-6.5,-110,-6.5,-110
2024,13,FINAL OT,Sun 12/1,4:05 PM,476,Carolina,23,76%,6.5,-105,7.0,-115,6.5,-105,6.5,-105,6.5,-108,6.5,-105,6.5,-105,,,6.5,-110,6.5,-110
2024,13,FINAL,Sun 12/1,4:05 PM,477,L.A. Rams,21,35%,-3.0,+100,-3.0,-110,-3.0,-105,-2.5,-120,-2.5,-118,-3.0,-105,-3.0,-105,,,-3.0,-101,-2.5,-115
2024,13,FINAL,Sun 12/1,4:05 PM,478,New Orleans,14,65%,3.0,-120,3.0,-110,3.0,-115,2.5,+100,2.5,+102,3.0,-115,3.0,-115,,,3.0,-119,2.5,-105
2024,13,FINAL,Sun 12/1,4:25 PM,479,Philadelphia,24,43%,3.0,-107,3.0,-110,3.0,-114,3.0,-115,3.0,-108,3.0,-105,3.0,-114,,,3.0,-110,3.0,-110
2024,13,FINAL,Sun 12/1,4:25 PM,480,Baltimore,19,57%,-3.0,-113,-3.0,-110,-3.0,-106,-3.0,-105,-3.0,-108,-3.0,-115,-3.0,-106,,,-3.0,-110,-3.0,-110
2024,13,FINAL,Sun 12/1,8:20 PM,481,San Francisco,10,71%,6.5,-113,6.0,+100,6.5,-110,6.5,-108,6.5,-108,6.5,-105,6.5,-110,,,6.5,-115,3.5,-115
2024,13,FINAL,Sun 12/1,8:20 PM,482,Buffalo,35,29%,-6.5,-107,-6.0,-120,-6.5,-111,-6.5,-112,-6.5,-108,-6.5,-115,-6.5,-111,,,-6.5,-105,-3.5,-105
2024,13,FINAL,Fri 11/29,3:00 PM,313,Las Vegas,17,77%,13.5,-105,14.0,-115,13.5,-115,13.5,-110,13.5,-108,13.5,-110,13.5,-115,,,13.5,-104,12.5,-110
2024,13,FINAL,Fri 11/29,3:00 PM,314,Kansas City,19,23%,-13.5,-115,-14.0,-105,-13.5,-105,-13.5,-110,-13.5,-108,-13.5,-110,-13.5,-105,,,-13.5,-116,-12.5,-110
2024,13,FINAL,Thu 11/28,12:30 PM,305,Chicago,20,74%,10.0,-119,9.0,+100,10.0,-120,9.5,-105,10.0,-108,10.0,-110,10.0,-120,,,10.0,-117,11.5,-110
2024,13,FINAL,Thu 11/28,12:30 PM,306,Detroit,23,26%,-10.0,-101,-9.0,-120,-10.0,+100,-9.5,-115,-10.0,-108,-10.0,-110,-10.0,+100,,,-10.0,-103,-11.5,-110
2024,13,FINAL,Thu 11/28,4:30 PM,307,N.Y. Giants,20,78%,4.0,+102,4.5,-110,4.0,-105,4.0,-105,4.0,-108,4.0,-105,4.0,-105,,,4.0,-110,2.5,-110
2024,13,FINAL,Thu 11/28,4:30 PM,308,Dallas,27,22%,-4.0,-122,-4.5,-110,-4.0,-115,-4.0,-115,-4.0,-108,-4.0,-115,-4.0,-115,,,-4.0,-110,-2.5,-110
2024,13,FINAL,Thu 11/28,8:20 PM,309,Miami,17,55%,3.5,-117,3.5,-120,3.5,-114,3.5,-120,3.0,+102,3.5,-115,3.5,-114,,,3.5,-117,3.5,-110
2024,13,FINAL,Thu 11/28,8:20 PM,310,Green Bay,30,45%,-3.5,-103,-3.5,+100,-3.5,-106,-3.5,+100,-3.0,-118,-3.5,-105,-3.5,-106,,,-3.5,-103,-3.5,-110
2024,14,FINAL,Mon 12/9,8:15 PM,143,Cincinnati,27,35%,-4.5,-110,-4.0,-120,-4.5,-102,-4.5,-110,-4.5,-108,-4.5,-110,-4.5,-103,,,-5.0,-110,-6.5,-110
2024,14,FINAL,Mon 12/9,8:15 PM,144,Dallas,20,65%,4.5,-110,4.0,+100,4.5,-118,4.5,-110,4.5,-108,4.5,-110,4.5,-117,,,5.0,-110,6.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,121,Atlanta,21,53%,6.0,-114,5.5,-105,6.0,-108,6.0,-110,6.0,-108,6.0,-110,6.0,-111,,,6.0,-110,4.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,122,Minnesota,42,47%,-6.0,-106,-5.5,-115,-6.0,-112,-6.0,-110,-6.0,-108,-6.0,-110,-6.0,-109,,,-6.0,-110,-4.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,123,New Orleans,14,28%,-5.5,-110,-5.5,-115,-5.5,-115,-5.5,-110,-5.5,-108,-5.5,-115,-5.5,-115,,,-5.5,-110,-3.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,124,N.Y. Giants,11,72%,5.5,-110,5.5,-105,5.5,-105,5.5,-110,5.5,-108,5.5,-105,5.5,-105,,,5.5,-110,3.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,125,Jacksonville,10,67%,3.0,-110,3.0,-110,3.0,-110,3.0,-110,3.0,-108,3.0,-105,3.0,-110,,,3.0,-110,3.0,-120
2024,14,FINAL,Sun 12/8,1:00 PM,126,Tennessee,6,33%,-3.0,-110,-3.0,-110,-3.0,-110,-3.0,-110,-3.0,-108,-3.0,-115,-3.0,-110,,,-3.0,-110,-3.0,+100
2024,14,FINAL,Sun 12/8,1:00 PM,127,Las Vegas,13,78%,6.5,-104,7.0,-110,6.5,-104,6.5,-105,7.0,-113,7.0,-115,6.5,-104,,,6.5,-106,7.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,128,Tampa Bay,28,22%,-6.5,-116,-7.0,-110,-6.5,-116,-6.5,-115,-7.0,-103,-7.0,-105,-6.5,-116,,,-6.5,-114,-7.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,129,Cleveland,14,70%,6.0,-110,6.0,-105,6.0,-110,6.0,-110,6.0,-108,6.0,-115,6.0,-110,,,6.0,-110,6.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,130,Pittsburgh,27,30%,-6.0,-110,-6.0,-115,-6.0,-110,-6.0,-110,-6.0,-108,-6.0,-105,-6.0,-110,,,-6.0,-110,-6.5,-110
2024,14,FINAL,Sun 12/8,1:00 PM,131,Carolina,16,77%,14.0,-113,14.0,-105,14.0,-115,14.0,-110,14.0,-108,14.0,-110,14.0,-115,,,14.0,-114,13.0,-110
2024,14,FINAL,Sun 12/8,1:00 PM,132,Philadelphia,22,23%,-14.0,-107,-14.0,-115,-14.0,-105,-14.0,-110,-14.0,-108,-14.0,-110,-14.0,-105,,,-14.0,-106,-13.0,-110
2024,14,FINAL OT,Sun 12/8,1:00 PM,133,N.Y. Jets,26,72%,6.5,-110,6.5,-110,6.0,-101,6.5,-110,6.5,-108,6.5,-110,6.5,-110,,,6.5,-110,6.5,-110
2024,14,FINAL OT,Sun 12/8,1:00 PM,134,Miami,32,28%,-6.5,-110,-6.5,-110,-6.0,-120,-6.5,-110,-6.5,-108,-6.5,-110,-6.5,-110,,,-6.5,-110,-6.5,-110
2024,14,FINAL,Sun 12/8,4:05 PM,135,Seattle,30,47%,3.0,-102,3.0,+110,3.0,-110,3.0,-110,3.0,+102,3.0,+100,3.0,-110,,,3.0,-101,2.5,-110
2024,14,FINAL,Sun 12/8,4:05 PM,136,Arizona,18,53%,-3.0,-118,-3.0,-130,-3.0,-110,-3.0,-110,-3.0,-118,-3.0,-120,-3.0,-110,,,-3.0,-119,-2.5,-110
2024,14,FINAL,Sun 12/8,4:25 PM,137,Buffalo,42,31%,-3.5,-106,-3.5,-105,-3.5,-104,-3.5,-110,-3.5,-103,-3.5,-110,-3.5,-104,,,-3.5,-103,-3.5,-110
2024,14,FINAL,Sun 12/8,4:25 PM,138,L.A. Rams,44,69%,3.5,-114,3.5,-115,3.5,-116,3.5,-110,3.5,-113,3.5,-110,3.5,-116,,,3.5,-117,3.5,-110
2024,14,FINAL,Sun 12/8,4:25 PM,139,Chicago,13,57%,3.0,-110,3.0,-105,3.0,-110,3.0,-110,3.0,-108,3.0,-105,3.0,-110,,,3.0,-110,6.0,-110
2024,14,FINAL,Sun 12/8,4:25 PM,140,San Francisco,38,43%,-3.0,-110,-3.0,-115,-3.0,-110,-3.0,-110,-3.0,-108,-3.0,-115,-3.0,-110,,,-3.0,-110,-6.0,-110
2024,14,FINAL,Sun 12/8,8:20 PM,141,L.A. Chargers,17,54%,4.5,-115,4.5,-110,4.5,-109,4.5,-110,4.5,-108,4.5,-110,4.5,-109,,,4.5,-110,4.5,-110
2024,14,FINAL,Sun 12/8,8:20 PM,142,Kansas City,19,46%,-4.5,-105,-4.5,-110,-4.5,-111,-4.5,-110,-4.5,-108,-4.5,-110,-4.5,-111,,,-4.5,-110,-4.5,-110
2024,14,FINAL,Thu 12/5,8:15 PM,101,Green Bay,31,54%,3.0,-105,3.0,-105,3.0,-107,3.5,-120,3.0,-103,3.0,+100,3.0,-107,,,3.0,-103,6.0,-110
2024,14,FINAL,Thu 12/5,8:15 PM,102,Detroit,34,46%,-3.0,-115,-3.0,-115,-3.0,-113,-3.5,+100,-3.0,-113,-3.0,-120,-3.0,-113,,,-3.0,-117,-6.0,-110
2024,15,FINAL,Mon 12/16,8:00 PM,481,Chicago,12,80%,6.5,-105,7.0,-110,7.0,-121,7.0,-119,7.0,-108,7.0,-110,7.0,-121,,,7.0,-116,6.0,-110
2024,15,FINAL,Mon 12/16,8:00 PM,482,Minnesota,30,20%,-6.5,-115,-7.0,-110,-7.0,+101,-7.0,-101,-7.0,-108,-7.0,-110,-7.0,+101,,,-7.0,-104,-6.0,-110
2024,15,FINAL,Mon 12/16,8:30 PM,483,Atlanta,15,27%,-6.0,-115,-6.5,-110,-6.0,-110,-6.0,-110,-6.5,-108,-6.0,-115,-6.0,-110,,,-6.5,-110,-3.5,-110
2024,15,FINAL,Mon 12/16,8:30 PM,484,Las Vegas,9,73%,6.0,-105,6.5,-110,6.0,-110,6.0,-110,6.5,-108,6.0,-105,6.0,-110,,,6.5,-110,3.5,-110
